,location,total_sqft,bath,price,bhk
72,5th Phase JP Nagar,1256.0,2.0,62.8,2
73,5th Phase JP Nagar,1207.0,2.0,63.0,2
74,5th Phase JP Nagar,1725.0,2.0,100.0,3
75,5th Phase JP Nagar,1440.0,2.0,60.0,2
76,5th Phase JP Nagar,1700.0,2.0,100.0,3
78,5th Phase JP Nagar,2500.0,5.0,110.0,5
79,5th Phase JP Nagar,600.0,1.0,30.0,1
80,5th Phase JP Nagar,1390.0,2.0,65.0,2
81,5th Phase JP Nagar,1256.0,2.0,62.8,2
82,5th Phase JP Nagar,1000.0,2.0,48.0,2
83,5th Phase JP Nagar,1350.0,2.0,75.0,3
84,5th Phase JP Nagar,552.0,1.0,23.5,1
85,5th Phase JP Nagar,1200.0,2.0,51.0,2
89,5th Phase JP Nagar,1030.0,2.0,57.0,2
90,5th Phase JP Nagar,1200.0,2.0,68.0,2
91,5th Phase JP Nagar,1190.0,2.0,61.8,2
92,5th Phase JP Nagar,4000.0,5.0,170.0,5
93,5th Phase JP Nagar,1080.0,2.0,53.0,2
94,5th Phase JP Nagar,1041.0,2.0,54.0,2
95,5th Phase JP Nagar,812.0,2.0,42.0,2
96,5th Phase JP Nagar,1010.0,2.0,57.0,2
98,5th Phase JP Nagar,1075.0,2.0,60.0,2
99,6th Phase JP Nagar,1192.0,2.0,74.0,2
100,6th Phase JP Nagar,1180.0,2.0,80.0,2
101,6th Phase JP Nagar,3245.0,4.0,250.0,4
102,6th Phase JP Nagar,1645.0,3.0,100.0,3
103,6th Phase JP Nagar,1140.0,2.0,65.0,2
104,6th Phase JP Nagar,2040.0,3.0,200.0,3
105,6th Phase JP Nagar,1213.0,2.0,63.0,2
106,6th Phase JP Nagar,1216.0,2.0,60.0,2
107,6th Phase JP Nagar,1460.0,2.0,80.0,2
108,6th Phase JP Nagar,2003.0,3.0,200.0,3
109,6th Phase JP Nagar,1810.0,3.0,131.0,3
110,6th Phase JP Nagar,1515.0,2.0,135.0,3
111,6th Phase JP Nagar,1192.0,2.0,75.0,2
112,6th Phase JP Nagar,1280.0,2.0,88.0,2
113,7th Phase JP Nagar,1080.0,2.0,72.0,2
114,7th Phase JP Nagar,1270.0,2.0,93.0,2
115,7th Phase JP Nagar,1420.0,2.0,100.0,3
116,7th Phase JP Nagar,1850.0,3.0,150.0,3
117,7th Phase JP Nagar,1245.0,2.0,94.0,2
118,7th Phase JP Nagar,1175.0,2.0,82.0,2
119,7th Phase JP Nagar,1400.0,2.0,95.0,3
120,7th Phase JP Nagar,2225.0,3.0,160.0,3
121,7th Phase JP Nagar,1050.0,2.0,71.0,2
122,7th Phase JP Nagar,1100.0,2.0,46.0,2
123,7th Phase JP Nagar,918.0,2.0,50.49,2
124,7th Phase JP Nagar,1450.0,2.0,100.0,3
125,7th Phase JP Nagar,1190.0,2.0,49.98,2
126,7th Phase JP Nagar,1420.0,2.0,96.0,3
127,7th Phase JP Nagar,1680.0,3.0,120.0,3
128,7th Phase JP Nagar,980.0,2.0,69.0,2
129,7th Phase JP Nagar,1180.0,2.0,72.0,2
133,7th Phase JP Nagar,1400.0,3.0,115.0,3
134,7th Phase JP Nagar,1270.0,2.0,83.0,2
136,7th Phase JP Nagar,2503.0,4.0,188.0,4
137,7th Phase JP Nagar,2200.0,3.0,190.0,3
140,7th Phase JP Nagar,1575.0,2.0,110.0,3
141,7th Phase JP Nagar,1850.0,3.0,140.0,3
142,7th Phase JP Nagar,1575.0,2.0,120.0,3
143,7th Phase JP Nagar,1850.0,3.0,150.0,3
144,7th Phase JP Nagar,1680.0,3.0,120.0,3
145,7th Phase JP Nagar,1175.0,2.0,82.5,2
148,7th Phase JP Nagar,1215.0,2.0,90.0,2
149,7th Phase JP Nagar,1050.0,2.0,75.0,2
150,7th Phase JP Nagar,1300.0,3.0,89.13,3
151,7th Phase JP Nagar,1130.0,2.0,73.0,2
152,7th Phase JP Nagar,1450.0,3.0,100.0,3
154,7th Phase JP Nagar,1050.0,2.0,50.0,2
155,7th Phase JP Nagar,1275.0,2.0,87.0,2
157,7th Phase JP Nagar,1650.0,3.0,110.0,3
158,7th Phase JP Nagar,850.0,2.0,42.0,2
159,7th Phase JP Nagar,1680.0,3.0,117.0,3
160,7th Phase JP Nagar,1850.0,3.0,150.0,3
161,7th Phase JP Nagar,1236.0,2.0,61.33,2
162,7th Phase JP Nagar,1000.0,2.0,53.0,2
163,7th Phase JP Nagar,1680.0,3.0,125.0,3
164,7th Phase JP Nagar,1675.0,2.0,135.0,3
165,7th Phase JP Nagar,1187.0,2.0,59.0,2
166,7th Phase JP Nagar,1850.0,3.0,155.0,3
167,7th Phase JP Nagar,1000.0,2.0,61.0,2
168,7th Phase JP Nagar,1460.0,2.0,100.0,3
169,7th Phase JP Nagar,1650.0,3.0,110.0,3
170,7th Phase JP Nagar,1200.0,2.0,62.5,2
171,7th Phase JP Nagar,1000.0,2.0,70.65,2
172,7th Phase JP Nagar,1080.0,2.0,75.0,2
174,7th Phase JP Nagar,1680.0,3.0,125.0,3
175,7th Phase JP Nagar,1460.0,2.0,97.0,3
176,7th Phase JP Nagar,1120.0,2.0,65.0,2
177,7th Phase JP Nagar,1100.0,3.0,60.0,2
178,7th Phase JP Nagar,1790.0,3.0,120.0,3
179,7th Phase JP Nagar,1680.0,3.0,117.0,3
180,7th Phase JP Nagar,1050.0,2.0,77.0,2
181,7th Phase JP Nagar,1050.0,2.0,75.0,2
182,7th Phase JP Nagar,1040.0,2.0,75.0,2
183,7th Phase JP Nagar,1400.0,2.0,95.0,3
184,7th Phase JP Nagar,1800.0,3.0,130.0,3
185,7th Phase JP Nagar,1050.0,2.0,68.0,2
186,7th Phase JP Nagar,1000.0,2.0,60.0,2
187,7th Phase JP Nagar,1680.0,3.0,125.0,3
188,7th Phase JP Nagar,1050.0,2.0,77.47,2
189,7th Phase JP Nagar,1270.0,2.0,80.0,2
191,7th Phase JP Nagar,1680.0,3.0,122.0,3
192,7th Phase JP Nagar,1130.0,2.0,85.0,2
193,7th Phase JP Nagar,1680.0,3.0,130.0,3
194,7th Phase JP Nagar,980.0,2.0,77.44,2
195,7th Phase JP Nagar,1680.0,3.0,112.0,3
197,7th Phase JP Nagar,2095.0,3.0,150.0,3
198,7th Phase JP Nagar,1976.0,3.0,145.0,3
199,7th Phase JP Nagar,1600.0,2.0,110.0,3
200,7th Phase JP Nagar,1765.0,3.0,118.0,3
201,7th Phase JP Nagar,1275.0,2.0,88.0,3
202,7th Phase JP Nagar,1450.0,2.0,102.0,3
203,7th Phase JP Nagar,1575.0,2.0,110.0,3
205,7th Phase JP Nagar,750.0,1.0,47.0,1
206,7th Phase JP Nagar,990.0,2.0,50.0,2
207,7th Phase JP Nagar,1000.0,1.0,60.0,1
209,7th Phase JP Nagar,1430.0,2.0,102.0,3
210,7th Phase JP Nagar,1128.0,2.0,60.0,2
211,7th Phase JP Nagar,1140.0,2.0,57.0,2
212,7th Phase JP Nagar,1420.0,3.0,90.0,3
213,7th Phase JP Nagar,1530.0,2.0,108.0,2
214,8th Phase JP Nagar,1073.5,2.0,54.005,2
215,8th Phase JP Nagar,451.0,1.0,29.9,1
217,8th Phase JP Nagar,1062.0,2.0,42.47,2
219,8th Phase JP Nagar,1455.0,3.0,73.31,3
220,8th Phase JP Nagar,871.0,2.0,55.0,2
221,8th Phase JP Nagar,1098.0,2.0,43.91,2
222,8th Phase JP Nagar,1800.0,3.0,80.0,3
223,8th Phase JP Nagar,2700.0,4.0,130.0,4
224,8th Phase JP Nagar,1080.0,2.0,38.0,2
225,8th Phase JP Nagar,1059.0,2.0,34.5,2
226,8th Phase JP Nagar,1080.0,2.0,35.0,2
228,8th Phase JP Nagar,1062.0,2.0,42.47,2
229,8th Phase JP Nagar,500.0,1.0,31.0,1
230,8th Phase JP Nagar,1100.0,2.0,35.0,2
231,8th Phase JP Nagar,2100.0,4.0,92.0,4
232,8th Phase JP Nagar,1035.0,2.0,39.33,2
233,8th Phase JP Nagar,909.0,2.0,40.9,2
234,8th Phase JP Nagar,1431.5,3.0,72.02,3
235,8th Phase JP Nagar,1900.0,4.0,90.0,3
236,8th Phase JP Nagar,500.0,1.0,30.0,1
237,8th Phase JP Nagar,1125.0,2.0,36.94,2
238,8th Phase JP Nagar,1100.0,2.0,35.0,2
239,8th Phase JP Nagar,1089.0,2.0,43.55,2
241,8th Phase JP Nagar,1504.0,2.0,83.0,3
242,8th Phase JP Nagar,2600.0,4.0,115.0,4
244,8th Phase JP Nagar,1089.0,2.0,43.55,2
246,8th Phase JP Nagar,1513.0,2.0,62.0,2
247,8th Phase JP Nagar,1298.0,2.0,59.0,2
248,8th Phase JP Nagar,1006.0,2.0,44.0,2
249,8th Phase JP Nagar,500.0,1.0,33.0,1
250,8th Phase JP Nagar,1160.0,2.0,95.0,2
251,8th Phase JP Nagar,1245.0,2.0,59.0,2
252,8th Phase JP Nagar,1510.0,2.0,80.0,2
253,8th Phase JP Nagar,3300.0,3.0,165.0,3
254,8th Phase JP Nagar,1730.0,5.0,75.0,5
257,8th Phase JP Nagar,1046.0,2.0,48.0,2
259,8th Phase JP Nagar,1408.0,3.0,80.0,3
261,9th Phase JP Nagar,1005.0,2.0,50.0,2
263,9th Phase JP Nagar,1100.0,2.0,65.0,2
264,9th Phase JP Nagar,1080.0,2.0,37.0,2
265,9th Phase JP Nagar,1035.0,2.0,45.0,2
266,9th Phase JP Nagar,5000.0,4.0,290.0,4
267,9th Phase JP Nagar,1164.0,2.0,56.0,2
268,9th Phase JP Nagar,1005.0,2.0,42.0,2
269,9th Phase JP Nagar,1127.0,2.0,50.0,2
270,9th Phase JP Nagar,1005.0,2.0,43.0,2
271,9th Phase JP Nagar,835.0,2.0,37.0,2
272,9th Phase JP Nagar,1050.0,2.0,39.0,2
273,9th Phase JP Nagar,660.0,2.0,27.0,2
274,9th Phase JP Nagar,600.0,1.0,20.0,1
275,9th Phase JP Nagar,1466.0,2.0,71.0,2
276,9th Phase JP Nagar,1890.0,2.0,93.0,3
277,9th Phase JP Nagar,1079.0,2.0,60.0,2
278,9th Phase JP Nagar,1480.0,2.0,80.0,2
279,9th Phase JP Nagar,1200.0,2.0,80.0,2
280,9th Phase JP Nagar,905.0,2.0,32.0,2
281,9th Phase JP Nagar,1073.0,2.0,52.36,2
282,9th Phase JP Nagar,1719.3,2.0,88.0,3
283,9th Phase JP Nagar,1780.0,3.0,88.0,3
285,9th Phase JP Nagar,1522.0,3.0,90.0,3
288,9th Phase JP Nagar,890.0,2.0,45.0,2
290,9th Phase JP Nagar,5000.0,4.0,300.0,4
292,9th Phase JP Nagar,1050.0,2.0,35.0,2
293,9th Phase JP Nagar,1331.95,2.0,69.0,2
294,AECS Layout,1100.0,2.0,45.0,2
295,AECS Layout,1028.0,2.0,42.0,2
296,AECS Layout,1199.0,2.0,65.0,2
297,AECS Layout,1080.0,2.0,55.0,2
298,AECS Layout,1123.0,2.0,64.0,2
299,AECS Layout,1308.0,2.0,60.0,2
300,AECS Layout,1005.0,2.0,55.0,2
302,Abbigere,985.0,2.0,40.39,2
303,Abbigere,2200.0,6.0,68.0,6
304,Abbigere,765.0,2.0,30.0,1
305,Abbigere,880.0,2.0,35.0,2
306,Abbigere,795.0,2.0,32.54,2
307,Abbigere,1005.0,2.0,39.59,2
308,Abbigere,734.0,1.0,19.82,1
310,Abbigere,1020.0,2.0,41.82,2
311,Abbigere,985.0,2.0,40.39,2
312,Abbigere,2500.0,6.0,81.0,6
313,Abbigere,795.0,2.0,32.54,2
314,Abbigere,1130.0,2.0,46.33,2
315,Abbigere,795.0,1.0,32.6,2
316,Abbigere,3000.0,8.0,150.0,8
317,Abbigere,985.0,2.0,38.92,2
318,Abbigere,1000.0,2.0,41.0,2
319,Abbigere,995.0,2.0,40.8,2
320,Abbigere,1020.0,2.0,40.8,2
321,Akshaya Nagar,1388.0,2.0,57.0,2
322,Akshaya Nagar,1070.0,2.0,54.0,2
323,Akshaya Nagar,1280.0,2.0,58.0,2
324,Akshaya Nagar,1662.0,3.0,85.1,3
325,Akshaya Nagar,1897.0,3.0,120.0,3
326,Akshaya Nagar,1410.0,2.0,75.0,3
327,Akshaya Nagar,1360.0,2.0,85.0,3
329,Akshaya Nagar,1410.0,2.0,80.0,3
330,Akshaya Nagar,1662.0,3.0,85.0,3
331,Akshaya Nagar,1662.0,3.0,85.5,3
332,Akshaya Nagar,1280.0,2.0,60.0,2
333,Akshaya Nagar,1666.0,3.0,95.0,3
334,Akshaya Nagar,1575.0,3.0,90.0,3
335,Akshaya Nagar,1430.0,2.0,75.0,3
336,Akshaya Nagar,1419.0,2.0,73.0,3
337,Akshaya Nagar,1280.0,2.0,60.0,2
338,Akshaya Nagar,1200.0,2.0,50.0,2
339,Akshaya Nagar,1092.0,2.0,60.0,2
340,Akshaya Nagar,1690.0,3.0,85.0,3
342,Akshaya Nagar,1897.0,4.0,93.0,3
343,Akshaya Nagar,1884.0,3.0,98.0,3
344,Akshaya Nagar,1314.0,2.0,68.8,2
345,Akshaya Nagar,1690.0,3.0,85.0,3
346,Akshaya Nagar,1265.0,2.0,67.0,2
347,Akshaya Nagar,1126.0,2.0,55.0,2
349,Akshaya Nagar,1662.0,3.0,90.0,3
350,Akshaya Nagar,1420.0,2.0,75.0,3
351,Akshaya Nagar,1412.0,2.0,88.0,3
352,Akshaya Nagar,1434.0,3.0,84.0,3
353,Akshaya Nagar,1890.0,4.0,100.0,3
355,Akshaya Nagar,1419.0,2.0,87.0,3
356,Akshaya Nagar,1300.0,2.0,54.0,2
357,Akshaya Nagar,1690.0,3.0,85.0,3
358,Akshaya Nagar,1113.0,2.0,52.0,2
359,Akshaya Nagar,1820.0,4.0,95.0,3
360,Akshaya Nagar,1100.0,2.0,48.0,2
361,Akshaya Nagar,1896.0,3.0,102.0,3
362,Akshaya Nagar,1300.0,2.0,66.0,2
363,Akshaya Nagar,1225.0,2.0,68.0,2
364,Akshaya Nagar,1179.0,2.0,51.0,2
365,Akshaya Nagar,1421.0,2.0,73.0,3
366,Akshaya Nagar,1893.0,4.0,95.0,3
367,Akshaya Nagar,900.0,2.0,45.0,2
368,Ambalipura,1105.0,2.0,75.0,2
369,Ambalipura,1800.0,3.0,110.0,3
370,Ambalipura,1150.0,2.0,80.0,2
371,Ambalipura,1250.0,2.0,66.25,2
372,Ambalipura,1332.0,2.0,79.0,2
373,Ambalipura,1730.0,3.0,120.0,3
375,Ambalipura,1230.0,2.0,66.25,2
376,Ambalipura,1351.0,2.0,77.0,2
380,Ambalipura,1303.0,2.0,80.0,2
381,Ambalipura,1607.0,2.0,112.0,3
382,Ambalipura,770.0,1.0,43.82,1
383,Ambalipura,1700.0,2.0,76.0,2
384,Ambalipura,1060.0,2.0,58.5,2
385,Ambalipura,1650.0,3.0,100.0,3
386,Ambalipura,1607.0,2.0,112.0,3
387,Ambalipura,1198.0,2.0,80.0,2
388,Ambedkar Nagar,1935.0,4.0,130.0,3
389,Ambedkar Nagar,1424.0,2.0,90.0,2
390,Ambedkar Nagar,2225.0,4.0,169.0,3
391,Ambedkar Nagar,1862.0,3.0,120.0,3
392,Ambedkar Nagar,1850.0,4.0,139.0,3
393,Ambedkar Nagar,1936.0,4.0,126.0,3
394,Ambedkar Nagar,1862.0,3.0,119.0,3
395,Ambedkar Nagar,1424.0,2.0,90.0,2
396,Ambedkar Nagar,2150.0,4.0,125.0,3
397,Ambedkar Nagar,3530.0,4.0,290.0,4
398,Ambedkar Nagar,1856.0,3.0,120.0,3
399,Ambedkar Nagar,1852.0,3.0,130.0,3
400,Ambedkar Nagar,1850.0,4.0,120.0,3
401,Ambedkar Nagar,1367.0,2.0,86.0,2
402,Ambedkar Nagar,3565.0,4.0,255.0,4
403,Ambedkar Nagar,1409.0,2.0,95.0,2
404,Ambedkar Nagar,1950.0,4.0,120.0,3
405,Ambedkar Nagar,1921.0,4.0,129.0,3
406,Ambedkar Nagar,1920.0,4.0,121.0,3
407,Ambedkar Nagar,1935.0,4.0,125.0,3
408,Ambedkar Nagar,1852.0,4.0,122.0,3
409,Ambedkar Nagar,1950.0,4.0,120.0,3
410,Ambedkar Nagar,1852.0,3.0,125.0,3
411,Ambedkar Nagar,1850.0,4.0,121.0,3
412,Ambedkar Nagar,1425.0,2.0,94.0,2
413,Ambedkar Nagar,2395.0,4.0,150.0,3
414,Amruthahalli,900.0,2.0,40.0,2
415,Amruthahalli,1200.0,2.0,55.0,2
416,Amruthahalli,1900.0,3.0,135.0,3
417,Amruthahalli,924.0,2.0,45.0,2
418,Amruthahalli,900.0,2.0,60.0,2
419,Amruthahalli,1100.0,2.0,45.0,2
420,Amruthahalli,1200.0,2.0,55.0,2
424,Amruthahalli,1450.0,2.0,85.0,3
425,Amruthahalli,1200.0,2.0,55.0,2
426,Amruthahalli,1250.0,2.0,79.0,2
427,Amruthahalli,1190.0,2.0,50.0,2
428,Amruthahalli,1202.0,2.0,65.0,2
429,Amruthahalli,1340.0,2.0,75.0,2
430,Amruthahalli,2650.0,4.0,175.0,3
431,Amruthahalli,1450.0,2.0,90.0,3
432,Amruthahalli,1025.0,2.0,42.0,2
433,Amruthahalli,485.0,1.0,19.5,1
434,Anandapura,1167.0,2.0,43.76,2
435,Anandapura,1000.0,2.0,55.0,2
436,Anandapura,1141.0,2.0,42.79,2
438,Anandapura,1200.0,2.0,67.0,2
439,Anandapura,1200.0,2.0,58.0,2
440,Anandapura,1151.0,2.0,43.1,2
441,Anandapura,1141.0,2.0,42.75,2
442,Anandapura,900.0,2.0,48.0,2
443,Anandapura,1749.0,4.0,90.0,4
444,Anandapura,1151.0,2.0,42.9,2
446,Anandapura,1250.0,2.0,45.0,2
447,Anandapura,1151.0,2.0,43.16,2
448,Anandapura,1200.0,2.0,58.0,2
449,Anandapura,1200.0,2.0,66.0,3
450,Anandapura,1415.0,2.0,74.0,3
451,Anandapura,1200.0,2.0,50.0,2
452,Anandapura,1141.0,2.0,50.0,2
454,Ananth Nagar,500.0,1.0,14.0,1
455,Ananth Nagar,1100.0,2.0,31.5,2
456,Ananth Nagar,982.0,2.0,24.55,2
457,Ananth Nagar,500.0,2.0,14.0,1
458,Ananth Nagar,900.0,2.0,22.5,2
459,Ananth Nagar,908.0,2.0,26.0,2
460,Ananth Nagar,870.0,2.0,36.0,2
461,Ananth Nagar,937.0,2.0,35.0,2
462,Ananth Nagar,960.0,2.0,37.0,2
463,Ananth Nagar,500.0,1.0,14.0,1
464,Ananth Nagar,1000.0,2.0,29.7,2
465,Ananth Nagar,850.0,2.0,25.99,2
466,Ananth Nagar,902.0,2.0,25.26,2
467,Ananth Nagar,1470.0,3.0,54.0,3
468,Ananth Nagar,810.0,2.0,25.5,2
469,Ananth Nagar,890.0,2.0,27.0,2
470,Ananth Nagar,1200.0,2.0,36.0,2
472,Ananth Nagar,1319.0,3.0,42.0,3
473,Ananth Nagar,1000.0,2.0,25.0,2
474,Ananth Nagar,902.0,2.0,25.0,2
475,Ananth Nagar,930.0,2.0,25.99,2
476,Ananth Nagar,1074.0,2.0,26.85,2
477,Ananth Nagar,500.0,1.0,14.0,1
478,Ananth Nagar,1010.0,2.0,38.0,2
479,Ananth Nagar,992.0,2.0,24.8,2
480,Anekal,1200.0,1.0,36.0,2
481,Anekal,656.0,2.0,22.0,2
482,Anekal,620.0,2.0,22.0,2
483,Anekal,600.0,1.0,16.5,1
484,Anekal,925.0,2.0,40.0,2
485,Anekal,530.0,1.0,18.0,1
486,Anekal,1800.0,3.0,68.0,3
487,Anekal,1200.0,1.0,36.0,2
488,Anekal,1035.0,2.0,38.3,2
489,Anekal,888.0,2.0,34.0,2
490,Anekal,1200.0,2.0,36.1,2
491,Anekal,700.0,1.0,19.4,2
492,Anekal,1200.0,1.0,36.0,2
493,Anekal,1200.0,2.0,36.0,4
494,Anekal,766.0,2.0,28.0,2
495,Anekal,967.0,2.0,45.0,3
496,Anekal,620.0,1.0,23.5,2
497,Anekal,1150.0,3.0,45.0,3
498,Anekal,1200.0,1.0,36.0,2
499,Anekal,1200.0,1.0,36.0,2
500,Anekal,400.0,1.0,11.5,1
501,Anekal,456.0,1.0,15.0,1
502,Anekal,1200.0,1.0,36.0,2
503,Anekal,1200.0,1.0,36.0,2
504,Anekal,2400.0,4.0,95.0,3
505,Anekal,1200.0,2.0,36.1,2
506,Anekal,1200.0,2.0,36.1,2
507,Anekal,680.0,1.0,21.0,2
508,Anekal,420.0,1.0,12.5,1
509,Anekal,614.0,1.0,28.0,2
510,Anekal,1140.0,2.0,52.0,2
511,Anekal,625.0,1.0,25.0,2
512,Anjanapura,1850.0,4.0,86.0,4
513,Anjanapura,1070.0,2.0,39.0,2
514,Anjanapura,1500.0,3.0,121.0,3
515,Anjanapura,1070.0,2.0,37.0,2
516,Anjanapura,950.0,2.0,40.0,2
517,Anjanapura,1280.0,2.0,45.0,3
518,Anjanapura,710.0,2.0,25.0,2
520,Anjanapura,950.0,2.0,32.0,2
521,Anjanapura,1800.0,4.0,55.0,4
522,Anjanapura,1843.0,3.0,87.54,3
523,Anjanapura,1076.0,2.0,30.13,2
524,Anjanapura,950.0,2.0,30.0,2
525,Ardendale,1750.0,3.0,100.0,3
526,Ardendale,3198.0,4.0,200.0,4
527,Ardendale,2422.0,4.0,160.0,4
528,Ardendale,1750.0,3.0,100.0,3
529,Ardendale,3200.0,4.0,205.0,4
530,Ardendale,1728.0,3.0,95.0,3
531,Ardendale,2062.0,3.0,140.0,4
532,Ardendale,1732.46,3.0,92.0,3
533,Ardendale,2062.0,3.0,150.0,4
535,Ardendale,1224.0,2.0,70.0,2
536,Ardendale,1777.26,3.0,105.0,3
537,Ardendale,1650.0,3.0,82.0,3
538,Ardendale,2062.0,3.0,140.0,4
539,Ardendale,1650.0,3.0,82.0,3
540,Ardendale,1224.0,2.0,67.0,2
541,Ardendale,1723.0,3.0,95.0,3
542,Ardendale,1777.26,3.0,89.0,3
543,Ardendale,1777.26,3.0,92.0,3
544,Arekere,2060.0,3.0,140.0,3
545,Arekere,920.0,2.0,40.0,2
546,Arekere,1740.0,2.0,95.0,3
547,Arekere,1190.0,2.0,55.0,2
548,Arekere,600.0,1.0,28.0,1
549,Arekere,2072.0,3.0,108.0,3
550,Arekere,1100.0,2.0,55.0,2
551,Arekere,900.0,2.0,50.0,2
552,Arekere,2710.0,6.0,142.0,4
553,Arekere,1240.0,2.0,60.0,2
554,Arekere,900.0,2.0,44.5,2
555,Attibele,450.0,1.0,11.0,1
556,Attibele,1600.0,4.0,52.8,4
557,Attibele,656.0,2.0,25.0,2
558,Attibele,400.0,1.0,11.0,1
559,Attibele,400.0,1.0,12.0,1
560,Attibele,400.0,1.0,14.0,1
561,Attibele,500.0,1.0,17.0,1
562,Attibele,2168.0,4.0,95.0,4
563,Attibele,395.0,1.0,10.25,1
564,Attibele,420.0,1.0,17.0,1
566,Attibele,418.0,1.0,12.0,1
567,Attibele,1200.0,2.0,42.0,2
568,Attibele,400.0,1.0,10.0,1
569,Attibele,695.0,1.0,25.0,2
570,Attibele,850.0,1.0,25.0,2
571,Attibele,2400.0,3.0,120.0,3
572,Attibele,450.0,1.0,12.5,1
576,Attibele,782.0,1.0,19.55,1
578,Attibele,656.0,2.0,25.0,2
579,Attibele,400.0,1.0,11.5,1
580,Attibele,460.0,1.0,13.0,1
581,Attibele,418.0,2.0,11.5,1
582,Attibele,1000.0,2.0,42.0,2
583,Attibele,550.0,1.0,11.5,1
585,Attibele,410.0,1.0,10.0,1
586,Attibele,1700.0,3.0,65.0,3
587,Attibele,400.0,1.0,10.25,1
588,Attibele,656.0,2.0,25.0,2
589,Attibele,1500.0,3.0,90.0,3
590,Attibele,520.0,1.0,15.0,1
591,BEML Layout,1060.0,2.0,55.0,2
593,BEML Layout,999.0,2.0,45.0,2
594,BEML Layout,2400.0,4.0,225.0,5
596,BEML Layout,1194.0,2.0,65.0,2
597,BEML Layout,1200.0,2.0,67.0,2
598,BEML Layout,2400.0,2.0,228.0,2
